Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
711--Steam Or Other Vapor Generating Boilers,27384806,3520105,17137854,17993796,28953267,97750384,210810023,146027873,62002942,40551332,33651422,30687565,40565567,41184592,114355716
699--Manufactures Of Base Metal,1657193350,1975657700,2786217221,3548002759,4500884135,4981542684,5095009023,3945547643,4810251795,5391153853,6024692816,6411032897,6684358534,6980857047,6962161429
697--Household Equipment Of Base Metal,1867715641,2259011392,2773757561,3155824858,3715513946,4166274173,3992564982,3465331524,4053988305,4203880594,4201930075,4534621402,4618920756,5113876669,5535870401
696--Cutlery,517403774,613212387,680360104,747543315,828900249,918502140,944990755,761515612,938324209,1011374206,1010811318,1109567106,1111437863,1188180956,1105557629
695--Tools For Use In The Hand Or In Machines,667197972,773421324,892102807,1060710699,1179277217,1368772547,1478322401,1248314433,1594941442,1801507577,1980938544,2125162760,2291715158,2360149448,2248750421
694--Nails; Screws; Nuts; Etc;,301599739,405747569,672856118,955211527,1155849308,1217326874,1293271928,759425143,971399859,1214144445,1342462055,1255602236,1425958088,1434507098,1276179130
693--Wire Products & Fencng Grills,84251958,109923780,202284757,278747445,389950120,417693896,595511203,289699608,374097888,437365493,443120811,371831415,388536778,390279166,380240649
692--Metal Containers For Storage Or Transport,37295338,60986582,69157327,75392245,112434074,149936290,179710974,120927396,145791848,239461659,252623359,252987332,281554101,369289105,337121094
691--Metal Structures & Parts; Iron; Steel; Aluminum,97171479,104483562,179643660,289746201,515673200,656388525,1031428559,753687614,687436400,844533683,1112024769,789516013,953999553,1272087100,1409808961
689--Miscellaneous Nonferrous Base Metals,60329856,83854713,158813534,176653775,232623354,313911757,484351125,227380821,370617141,496573966,493019665,443314690,445046736,382577442,242381428
687--Tin,21075480,24208834,58715918,49062091,47359614,65947796,42631779,15125078,19480023,42179233,5265682,33690279,78182667,20833587,3969708
686--Zinc,33030938,22408795,8614197,10405120,24671008,11887174,1494822,1503349,1380025,759568,873289,1798644,1803994,1656694,1413068
685--Lead,12327019,424995,397317,22226968,50618307,2421748,482920,19706,30653,153741,10213116,1164788,297728,671197,272691
684--Aluminum,41094605,66191340,168400207,502970652,750015319,825105962,741024051,754585553,927125275,715669935,622398375,901885202,1190859787,1529928845,1385482602
683--Nickel,143058,1045985,1015037,7555640,25121396,2485716,2545952,9790256,22874561,15886950,19790294,24127429,18116284,22636812,9464177
682--Copper,47118127,72743928,146395364,202512370,480739723,554052388,667452871,376180707,389064226,375658577,353110902,358819539,403451173,298627150,279143563
681--Silver; Platinum & Other Platinum Group Metals,35942534,11202371,9804501,2434989,11748352,12261155,58894503,612299,6883511,13672459,15514130,20126352,21985851,30946338,75853125
679--Iron & Steel Tubes; Pipes & Fittings,200175004,259878452,554350653,1125186619,2065207454,2702994024,4409209746,1867699114,757869787,1111141696,1276217513,1119061609,1371081998,1204756235,991267228
678--Iron And Steel Wire,32917495,36062007,75667226,113080706,159266523,170745366,193603013,106837937,151603781,172223242,167855057,171651048,194639392,202526149,179747016
677--Iron & Steel Rails & Railway Track Const Material,3879128,4214926,7643843,11253478,32858036,65699878,61301899,23664799,25523884,44111509,54094890,50839287,61464719,76263696,55163777
676--Iron & Steel Bars; Rods; Angles; Shapes & Section,96120994,67821665,344170860,380668841,649763791,489228565,627568103,86910720,108406476,247360110,389232592,488091293,479281417,282765006,161832347
675--Alloy Steel Flat-Rolled Products,7742789,12685186,117340830,149273128,340186048,572137417,641345189,92397324,280032634,426455780,322073770,260501736,414982737,393678924,128345616
674--Iron & Natural Steel Flat-Rolled Products,6370633,97390,113682792,101756958,500856483,331020615,508787128,124996293,223335721,313224333,369627911,339687441,772074175,575298364,101093878
673--Iron & Nonalloy Steel Flat-Roll Products,14145374,2168620,65217691,46978066,229068041,121693245,172127685,31393834,46428089,132940357,173264244,157690127,512123216,275711493,3055749
672--Iron Or Steel & Semifinish Products,26863874,283451,15560661,33452581,17949140,9385431,6781718,5836859,4397240,12242216,12360498,11102258,11689315,10407464,8136867
