Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
523--Metallic Salts And Peroxysalts Of Inorganic Acids,55112330,52857463,58473024,80639776,77057826,91063567,114108220,109365884,111492759,143687405,204892076,237150790,225152274,181280195,252322542
748--Trasmission Shafts And Cranks,29003879,31704311,47848393,60969899,90770874,111770378,153477803,178558297,225430338,294303985,305756361,331582139,393692880,319595540,250410784
684--Aluminum,78608668,70133622,101452860,170719023,211209790,183015401,334599387,256836847,211522810,243366212,321741893,302020050,276201100,264280926,248684450
723--Civil Engineering & Contractors' Plant & Equipmen,258599498,282106640,393002644,368042887,471536594,688760968,916549144,667897967,721643925,781198231,848503554,805264539,740993416,567681972,240486022
592--Starches; Inulin & Wheat Gluten; Albumin Substitu,39140615,66179651,85408065,69414968,98621976,96842355,120979007,117229124,172595263,192990783,201628442,223917183,241706920,217051096,237718861
731--Machine Tools Working By Removing Metal Or Other,198891170,119008484,329470909,217077270,369875784,163139709,215524907,174432840,274519044,326547761,394180720,346441527,350014368,226844605,236863681
657--Special Yarns; Special Textile Fabrics; Etc.,81449899,122263900,149153796,190943408,274052452,292218806,334552545,248062635,290715847,307524348,308634212,309189447,291509562,237319975,230169586
897--Jewelry; Goldsmiths' & Silversmiths' Wares,11994131,9516280,10626180,15459634,9871750,35494226,45802000,71007210,76730524,115518934,181140644,176258495,273352805,288858225,228783507
022--Milk; Cream; Milk Products Except Butter Or Chees,24482569,27495600,36927084,38516947,76627316,107315766,125052876,83790942,156935807,236140954,236761239,494370104,461097318,244519584,223598202
651--Textile Yarn,49796055,63256501,54657432,65884266,94422025,100544801,108831254,80488388,194805868,205489864,214466715,307564709,248722101,232842077,213852470
681--Silver; Platinum & Other Platinum Group Metals,9111847,5390496,6160590,22558460,181353983,306422262,227943862,193611855,514094535,525413560,223729216,266807424,253463993,172150216,212795500
821--Furniture & Bedding Accessories,55845783,58806664,60003471,72914343,92457186,128201093,128250981,82479793,140126435,165172673,155867651,168391523,220819348,221242583,211826806
041--Wheat And Meslin; Unmilled,25940822,35262153,495056108,80275919,23471997,6097541,142255,87275344,40535645,160201792,213540727,1283019719,194280170,160461178,211516020
679--Iron & Steel Tubes; Pipes & Fittings,25807428,35287847,101274776,143106934,181799681,305294186,538836594,431932361,347393880,277111981,249679828,293621557,318770458,234988136,210480600
694--Nails; Screws; Nuts; Etc;,14161642,18961704,28921118,37112610,63324994,66116438,76270914,82670650,111142851,144385817,138596525,162058196,169029470,195021830,203677527
892--Printed Matter,75454737,92222211,74354653,84228775,104545589,119491225,168301663,122186886,165122002,167382240,182910173,176177497,216012285,226069066,196005879
894--Toys And Sporting Goods,26142575,34167908,61183344,67249165,52343576,79327646,69553001,139858002,417423460,598995054,303811805,251621661,112563378,160810192,182605304
683--Nickel,9908590,12071422,24447951,57301636,88759111,128903526,172222124,156883593,155557828,182581272,212085436,202742459,212863668,200477709,178364866
121--Tobacco; Tobacco Refuse,470618,4448318,22831670,1904980,61479556,65954901,109431220,121482241,151957163,117109943,122703562,175992299,215584865,196596870,171968318
098--Edible Products And Preparations,50851885,150531572,184004759,84741722,90890541,92096487,125236828,99931334,113415021,147536402,185759919,233889828,213079455,194479395,160969314
292--Crude Vegetable Materials,42961940,66296619,54169068,51636902,67846168,78377822,77400082,90573459,126130906,133702112,147113552,179015157,180877666,207334789,160717277
267--Manmade Fibers For Spinning,103707582,113981410,173396578,217548563,187050806,225333005,290080023,350146899,386686795,477934571,476084207,486847083,438489305,242950698,159142575
695--Tools For Use In The Hand Or In Machines,49992032,45737781,60918376,78981718,98108303,130269868,153382228,119042499,175169318,215462297,207511726,206494579,217963351,183892262,155335740
289--Ores & Concencentrate Of Precious Metal,30163167,37024197,55830443,76001330,122838657,123071951,84406579,35602210,38818516,176718424,131381899,210357091,145999717,155352861,152710120
056--Vegetables; Roots And Tubers; Prepared Or Preserv,29607049,33442032,41637771,28656480,35835027,43914751,48761360,43628621,69989159,98234134,130501465,139631763,130834721,134859528,147246053
749--Nonelectric Parts & Accessories Of Machinery,37523923,33391403,49945100,55568725,76809664,61514053,58284480,63428815,74096827,97402463,96166482,131010725,148700921,136073925,145920802
621--Materials Of Rubber,8827462,15860398,29419515,71835313,47337780,83092274,88164707,70049484,93081023,99750214,104738878,129113486,148607479,134312464,145705168
629--Articles Of Rubber,9192468,12518628,16134395,29199774,38988762,54236056,67622464,65402459,101740346,110032584,109925703,131851945,135153371,133586274,141477418
278--Crude Minerals,29842953,40751315,52361685,64184875,72945041,68633930,71087650,74942523,98362692,114434457,87951277,100374609,131483132,131321261,140352024
343--Natural Gas; Whether Or Not Liquefied,0,0,0,0,0,4910,1735591,119705,139353,55687260,111657,125231,389500,10265,136523852
721--Agricultural Machinery (Excl Tractors) & Parts,75844188,66064581,48730616,50573387,45483222,47342282,66534943,87358484,109417440,189754796,361209134,318581218,262322604,412530257,134800465
551--Essential Oils; Perfume And Flavor Materials,34474994,50674863,49779133,53504050,62312897,68661565,84016207,95293222,110545167,112196886,125293892,151811391,137171556,140646244,134715041
513--Carboxylic Acids; Halides; & Derivatives,65872743,112660994,162558587,171738002,205742055,237084932,252357686,253457018,209743162,171738858,191343342,207469941,186926676,169751393,132464338
737--Metalworking Machinery,77712737,90716230,164511596,188688076,211230098,207020519,286012945,247774355,302912699,294088133,294915820,255645255,172286199,162686505,132230651
735--Parts & Access For Metal Work Machine Tools,49945162,62562378,84433737,90247887,99746514,94041873,132960802,112446820,166440519,226822384,167493464,164895723,148500978,141637733,129415058
284--Nickel Ores & Concentrates,120297,61245,314061,2658052,6559220,29642198,14230962,5915915,7037847,7642021,7951633,6917065,35213816,235209826,126611081
321--Coal; Pulverized Or Not,413696,126825,33176632,95644,332375,620244,29750520,120872548,623958938,882169820,1189965440,946634231,165012241,22507445,125022375
572--Polymers Of Styrene,15149750,19998739,33778280,45962451,69274878,75003657,83555052,61543274,79530965,86021126,88974145,98849081,92930700,94282552,120534780
058--Fruit Preserved and Fruit Preparations,9176712,18112025,14996799,19851073,28124563,27682528,38586250,56443650,65796189,70753310,56504525,31323961,42948861,95573981,119757830
775--Household Type Electric & Nonelectric Equipment,18072942,33665005,67016356,71483405,60607554,56282184,62533193,56850992,55909198,62138337,74307353,82076752,99118246,106361237,114408165
746--Ball Or Roller Bearings,13406588,28696661,36623816,42854708,55500475,67881482,80353201,83399537,93286871,96959054,111359600,117830195,127972751,135150116,110495999
421--Fixed Vegetable Fats & Oils,29093,48341723,612346,863955,47826423,139357038,133719504,42935406,397663905,147856968,301388093,138025197,134502633,15687663,106445048
112--Alcoholic Beverages,5453168,5290120,8339387,9522535,16895142,24313287,30636277,43741391,51748407,72561719,84939148,97496366,95380854,78842694,103142145
581--Tubes; Pipes And Hoses Of Plastics,9446641,14314159,22994068,24635567,22403046,36793923,49632125,49622252,69220488,77729896,72432711,77781494,77941005,91494107,95551158
851--Footwear,35153175,36904915,32282068,42137812,58352005,38702713,37579420,45876193,57769380,61796508,54063183,51407260,55978695,81299898,89867002
782--Special Purpose Motor Vehicles,36325388,69446949,35405368,69433110,105846899,314779530,211435705,238468283,254213816,565885170,371221364,210140949,98372887,109689607,88583949
591--Insecticides; Disinfectants,22786042,22642031,25909214,37360175,40236464,53517510,56098147,44670311,54594463,64435311,46131096,66646061,105762925,139346040,86217873
593--Explosives And Pyrotechnic Products,2248113,1397053,3842923,4456974,6546105,13165652,17213291,30787329,42833714,46846243,56168070,72713067,84650872,92152889,83983585
896--Works Of Art; Collectors' Pieces And Antiques,26599939,8804059,16833070,11147336,21716946,33512310,75051270,43347609,31178035,71507786,64625921,73968898,133486159,101272167,83686148
971--Gold; Nonmonetary,359823,989167,1545752,2780067,2596187,2999097,7192545,4319545,6184442,163375351,6184423,576366253,398179007,78034505,82193701
524--Inorganic Chemicals; Precious Metal Compounds,39358504,20626808,30379545,37281962,59210342,71016132,108475454,107947914,127092270,100700614,88621171,98565716,99104584,75121214,79826307
212--Furskins; Raw,4641610,13647377,37191125,44628552,45147059,42894871,120112338,93987349,152354895,147465237,138708489,183222610,70181485,124868332,78629472
562--Fertilizers (Except Crude),675629635,458803823,306418416,354627456,232028125,96981807,161353724,136368192,68134154,172718719,74717432,174379158,135706953,101879637,76590813
733--Machine Tools For Working But Not Removing Metal,31755594,31856958,40109281,50780126,55929884,49660187,58142272,52020369,68683569,152821905,208370230,188913952,177668949,125179214,71899019
761--Television Receivers,13336773,15135192,32259444,46754383,76630282,74342294,53532820,80044525,76083053,152474688,149690293,96482155,57714548,97549541,70693049
676--Iron & Steel Bars; Rods; Angles; Shapes & Section,6351561,12641852,9536028,22008420,32580919,56493495,66247697,49971961,82666659,95315868,73070177,68587933,77656208,75806896,64320788
634--Veneers; Plywood and Particle Board,42482643,41635358,65816194,51116046,41163521,44237637,34076744,20032371,26522012,25195109,36204260,98315405,67105894,40879372,60054093
044--Maize (Not Including Sweet Corn) Unmilled,2237950,658360,1007271,746386,7878692,11530744,5234233,53969064,289480638,850957635,1319657477,988325962,102347050,187204649,59405256
061--Sugars; Molasses And Honey,10279093,27381965,37660004,27616272,32566899,38681569,21201426,28344822,40874092,76070011,123538805,113324530,106101644,68137719,56552013
786--Trailers & Semi-Trailers,4052457,5581337,29754357,46293832,39069281,32239475,18837589,23995394,29375877,38763556,57378161,50254574,50355808,49528090,54950782
642--Paper & Paperboard; Cut To Size Or Shape; Article,58827291,49568925,55295165,57192077,58839419,37672442,41760478,38353312,42558311,42065178,45577506,53346240,48725105,54987942,53351457
675--Alloy Steel Flat-Rolled Products,18842403,108087827,88381146,195482702,95435256,172415953,395388195,219964191,65609280,62041386,50360200,51230979,69729602,58921046,51652648
724--Textile & Leather Machinery & Pts,69451332,98801508,75128829,98568115,115071837,69212792,68169437,83684450,114607236,86082706,87788119,71667570,73294524,62925362,51633203
